DEBUG: first line: .............XXO...AAO.P.B.O.P.BCC.P
A Star algorithm: start_node - <GameState.GameState object at 0x0000001FD8ADAF98>, graph - 
The solution was found: .B.....B........XX.AAO.P...O.PCC.O.P
         86737 function calls (86664 primitive calls) in 0.268 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.002    0.002 Car.py:1(<module>)
     3280    0.011    0.000    0.011    0.000 Car.py:24(move_ifpossible)
        1    0.000    0.000    0.000    0.000 Car.py:3(Car)
     3097    0.009    0.000    0.009    0.000 Car.py:6(__init__)
        1    0.000    0.000    0.001    0.001 Direction.py:1(<module>)
        1    0.000    0.000    0.000    0.000 Direction.py:4(Direction)
        1    0.000    0.000    0.008    0.008 GameState.py:1(<module>)
        1    0.000    0.000    0.000    0.000 GameState.py:10(<listcomp>)
     1151    0.001    0.000    0.008    0.000 GameState.py:13(matrix_to_vector)
      147    0.025    0.000    0.182    0.001 GameState.py:161(createAllPossibleSons)
        1    0.000    0.000    0.000    0.000 GameState.py:21(GameState)
    20883    0.030    0.000    0.035    0.000 GameState.py:232(__eq__)
     1151    0.002    0.000    0.012    0.000 GameState.py:243(unique_id_str)
    20883    0.005    0.000    0.005    0.000 GameState.py:248(__lt__)
     2216    0.010    0.000    0.078    0.000 GameState.py:25(__init__)
     2215    0.030    0.000    0.068    0.000 GameState.py:29(<listcomp>)
      147    0.017    0.000    0.019    0.000 GameState.py:52(findCarsInBoard)
        1    0.000    0.000    0.000    0.000 GameState.py:9(vector_to_matrix)
     2215    0.030    0.000    0.040    0.000 GameState.py:97(moveCar_ifpossible)
        1    0.000    0.000    0.000    0.000 _bootlocale.py:11(getpreferredencoding)
        1    0.000    0.000    0.000    0.000 bisect.py:1(<module>)
        1    0.000    0.000    0.000    0.000 codecs.py:260(__init__)
        1    0.000    0.000    0.000    0.000 codecs.py:281(getstate)
        1    0.000    0.000    0.002    0.002 copy.py:49(<module>)
        1    0.000    0.000    0.000    0.000 copy.py:55(Error)
        8    0.000    0.000    0.000    0.000 cp1255.py:18(encode)
        1    0.000    0.000    0.000    0.000 cp1255.py:22(decode)
        1    0.000    0.000    0.000    0.000 enum.py:124(__prepare__)
        1    0.000    0.000    0.000    0.000 enum.py:134(__new__)
        1    0.000    0.000    0.000    0.000 enum.py:151(<dictcomp>)
        1    0.000    0.000    0.000    0.000 enum.py:176(<setcomp>)
        4    0.000    0.000    0.000    0.000 enum.py:18(_is_descriptor)
        8    0.000    0.000    0.000    0.000 enum.py:26(_is_dunder)
        1    0.000    0.000    0.000    0.000 enum.py:334(__getattr__)
        8    0.000    0.000    0.000    0.000 enum.py:34(_is_sunder)
        9    0.000    0.000    0.000    0.000 enum.py:375(__setattr__)
        2    0.000    0.000    0.000    0.000 enum.py:441(_get_mixins_)
        2    0.000    0.000    0.000    0.000 enum.py:452(_find_data_type)
        1    0.000    0.000    0.000    0.000 enum.py:473(_find_new_)
        1    0.000    0.000    0.000    0.000 enum.py:63(__init__)
        8    0.000    0.000    0.000    0.000 enum.py:69(__setitem__)
       14    0.000    0.000    0.002    0.000 hashlib.py:116(__get_openssl_constructor)
        1    0.000    0.000    0.012    0.012 hashlib.py:54(<module>)
        8    0.000    0.000    0.001    0.000 hashlib.py:73(__get_builtin_constructor)
        1    0.000    0.000    0.306    0.306 main.py:1(<module>)
        1    0.000    0.000    0.273    0.273 main.py:29(main)
      798    0.006    0.000    0.006    0.000 main.py:7(heuristic)
        1    0.000    0.000    0.018    0.018 random.py:38(<module>)
        1    0.000    0.000    0.000    0.000 random.py:669(SystemRandom)
        1    0.000    0.000    0.000    0.000 random.py:72(Random)
        1    0.000    0.000    0.000    0.000 random.py:88(__init__)
        1    0.000    0.000    0.000    0.000 random.py:97(seed)
        5    0.000    0.000    0.000    0.000 {built-in method __new__ of type object at 0x00007FFEA8A09D30}
        1    0.000    0.000    0.000    0.000 {built-in method _codecs.charmap_decode}
        8    0.000    0.000    0.000    0.000 {built-in method _codecs.charmap_encode}
        1    0.000    0.000    0.000    0.000 {built-in method _hashlib.openssl_md5}
        1    0.000    0.000    0.000    0.000 {built-in method _hashlib.openssl_sha1}
        1    0.000    0.000    0.000    0.000 {built-in method _hashlib.openssl_sha224}
        1    0.000    0.000    0.000    0.000 {built-in method _hashlib.openssl_sha256}
        1    0.000    0.000    0.000    0.000 {built-in method _hashlib.openssl_sha384}
        1    0.000    0.000    0.000    0.000 {built-in method _hashlib.openssl_sha512}
        9    0.000    0.000    0.000    0.000 {built-in method _imp._fix_co_filename}
       74    0.000    0.000    0.000    0.000 {built-in method _imp.acquire_lock}
        5    0.001    0.000    0.001    0.000 {built-in method _imp.create_builtin}
        1    0.009    0.009    0.009    0.009 {built-in method _imp.create_dynamic}
        5    0.000    0.000    0.000    0.000 {built-in method _imp.exec_builtin}
        1    0.000    0.000    0.000    0.000 {built-in method _imp.exec_dynamic}
       16    0.000    0.000    0.000    0.000 {built-in method _imp.is_builtin}
       11    0.000    0.000    0.000    0.000 {built-in method _imp.is_frozen}
       74    0.000    0.000    0.000    0.000 {built-in method _imp.release_lock}
        1    0.000    0.000    0.000    0.000 {built-in method _locale._getdefaultlocale}
       36    0.000    0.000    0.000    0.000 {built-in method _thread.allocate_lock}
       36    0.000    0.000    0.000    0.000 {built-in method _thread.get_ident}
        7    0.000    0.000    0.001    0.000 {built-in method builtins.__build_class__}
      2/1    0.000    0.000    0.002    0.002 {built-in method builtins.__import__}
       15    0.000    0.000    0.000    0.000 {built-in method builtins.any}
     10/1    0.000    0.000    0.306    0.306 {built-in method builtins.exec}
      110    0.000    0.000    0.000    0.000 {built-in method builtins.getattr}
       14    0.000    0.000    0.000    0.000 {built-in method builtins.globals}
      102    0.000    0.000    0.000    0.000 {built-in method builtins.hasattr}
    20986    0.005    0.000    0.005    0.000 {built-in method builtins.isinstance}
        4    0.000    0.000    0.000    0.000 {built-in method builtins.issubclass}
       32    0.000    0.000    0.000    0.000 {built-in method builtins.len}
      148    0.041    0.000    0.081    0.001 {built-in method builtins.min}
        3    0.000    0.000    0.000    0.000 {built-in method builtins.print}
        5    0.000    0.000    0.000    0.000 {built-in method builtins.setattr}
     1151    0.007    0.000    0.007    0.000 {built-in method builtins.sum}
       27    0.000    0.000    0.000    0.000 {built-in method from_bytes}
        1    0.000    0.000    0.000    0.000 {built-in method io.open}
        9    0.001    0.000    0.001    0.000 {built-in method marshal.loads}
        1    0.000    0.000    0.000    0.000 {built-in method math.exp}
        2    0.000    0.000    0.000    0.000 {built-in method math.log}
        1    0.000    0.000    0.000    0.000 {built-in method math.sqrt}
       28    0.000    0.000    0.000    0.000 {built-in method nt.fspath}
       11    0.000    0.000    0.000    0.000 {built-in method nt.getcwd}
       49    0.009    0.000    0.009    0.000 {built-in method nt.stat}
        1    0.000    0.000    0.000    0.000 {function Random.seed at 0x0000001FD8AE3048}
     2045    0.001    0.000    0.001    0.000 {method 'append' of 'list' objects}
        1    0.000    0.000    0.000    0.000 {method 'disable' of '_lsprof.Profiler' objects}
       11    0.000    0.000    0.000    0.000 {method 'endswith' of 'str' objects}
        1    0.000    0.000    0.000    0.000 {method 'format' of 'str' objects}
       47    0.000    0.000    0.000    0.000 {method 'get' of 'dict' objects}
        9    0.000    0.000    0.000    0.000 {method 'get' of 'mappingproxy' objects}
        4    0.000    0.000    0.000    0.000 {method 'items' of 'collections.OrderedDict' objects}
