A Star algorithm: start_node - <GameState.GameState object at 0x000000BC08591F28>, graph - 
DEBUG: wot...? 0
DEBUG: <FibonacciHeap.BinaryTreeNode object at 0x000000BC085A0CC0>
         11486 function calls (11406 primitive calls) in 0.101 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       11    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:93(_path_isfile)
       10    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:951(path_stats)
        1    0.000    0.000    0.008    0.008 <frozen importlib._bootstrap_external>:956(_cache_bytecode)
        1    0.000    0.000    0.008    0.008 <frozen importlib._bootstrap_external>:961(set_data)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:98(_path_isdir)
        1    0.000    0.000    0.014    0.014 AStar.py:1(<module>)
       44    0.000    0.000    0.000    0.000 AStar.py:122(heuristic)
       44    0.000    0.000    0.000    0.000 AStar.py:140(cost_to_root)
        1    0.000    0.000    0.000    0.000 AStar.py:25(Node)
       44    0.000    0.000    0.000    0.000 AStar.py:27(__init__)
      209    0.000    0.000    0.000    0.000 AStar.py:34(__lt__)
        1    0.000    0.000    0.000    0.000 AStar.py:38(FibonacciHeap_with_HashTable)
        1    0.000    0.000    0.000    0.000 AStar.py:39(__init__)
       44    0.000    0.000    0.001    0.000 AStar.py:43(insert)
       45    0.000    0.000    0.002    0.000 AStar.py:47(extract_min)
       97    0.000    0.000    0.000    0.000 AStar.py:52(__contains__)
        1    0.002    0.002    0.069    0.069 AStar.py:56(a_star)
        1    0.000    0.000    0.000    0.000 BinaryHeap.py:11(<module>)
        1    0.000    0.000    0.000    0.000 BinaryHeap.py:13(BinaryHeap)
        1    0.000    0.000    0.002    0.002 Car.py:1(<module>)
     1628    0.005    0.000    0.005    0.000 Car.py:24(move_ifpossible)
        1    0.000    0.000    0.000    0.000 Car.py:3(Car)
     1432    0.003    0.000    0.003    0.000 Car.py:6(__init__)
        1    0.000    0.000    0.001    0.001 Direction.py:1(<module>)
        1    0.000    0.000    0.000    0.000 Direction.py:4(Direction)
        1    0.000    0.000    0.001    0.001 FibonacciHeap.py:1(<module>)
        1    0.000    0.000    0.000    0.000 FibonacciHeap.py:30(BinaryTreeNode)
       44    0.000    0.000    0.000    0.000 FibonacciHeap.py:31(__init__)
        1    0.000    0.000    0.000    0.000 FibonacciHeap.py:41(FibonacciHeap)
        1    0.000    0.000    0.000    0.000 FibonacciHeap.py:43(__init__)
       44    0.000    0.000    0.000    0.000 FibonacciHeap.py:47(insert)
       45    0.002    0.000    0.002    0.000 FibonacciHeap.py:74(extract_min)
        1    0.000    0.000    0.007    0.007 GameState.py:1(<module>)
        1    0.000    0.000    0.000    0.000 GameState.py:10(<listcomp>)
      181    0.000    0.000    0.001    0.000 GameState.py:13(matrix_to_vector)
       44    0.008    0.000    0.062    0.001 GameState.py:151(createAllPossibleSons)
        1    0.000    0.000    0.000    0.000 GameState.py:21(GameState)
      181    0.000    0.000    0.001    0.000 GameState.py:235(unique_id_str)
      905    0.003    0.000    0.029    0.000 GameState.py:25(__init__)
      904    0.012    0.000    0.026    0.000 GameState.py:29(<listcomp>)
       44    0.007    0.000    0.008    0.000 GameState.py:42(findCarsInBoard)
      904    0.010    0.000    0.015    0.000 GameState.py:87(moveCar_ifpossible)
        1    0.000    0.000    0.000    0.000 GameState.py:9(vector_to_matrix)
        1    0.000    0.000    0.000    0.000 _bootlocale.py:11(getpreferredencoding)
        1    0.000    0.000    0.000    0.000 bisect.py:1(<module>)
        1    0.000    0.000    0.000    0.000 codecs.py:260(__init__)
        1    0.000    0.000    0.000    0.000 codecs.py:281(getstate)
        1    0.000    0.000    0.002    0.002 copy.py:49(<module>)
        1    0.000    0.000    0.000    0.000 copy.py:55(Error)
       10    0.000    0.000    0.000    0.000 cp1255.py:18(encode)
        1    0.000    0.000    0.000    0.000 cp1255.py:22(decode)
        1    0.000    0.000    0.000    0.000 enum.py:124(__prepare__)
        1    0.000    0.000    0.000    0.000 enum.py:134(__new__)
        1    0.000    0.000    0.000    0.000 enum.py:151(<dictcomp>)
        1    0.000    0.000    0.000    0.000 enum.py:176(<setcomp>)
        4    0.000    0.000    0.000    0.000 enum.py:18(_is_descriptor)
        8    0.000    0.000    0.000    0.000 enum.py:26(_is_dunder)
        1    0.000    0.000    0.000    0.000 enum.py:334(__getattr__)
        8    0.000    0.000    0.000    0.000 enum.py:34(_is_sunder)
        9    0.000    0.000    0.000    0.000 enum.py:375(__setattr__)
        2    0.000    0.000    0.000    0.000 enum.py:441(_get_mixins_)
        2    0.000    0.000    0.000    0.000 enum.py:452(_find_data_type)
        1    0.000    0.000    0.000    0.000 enum.py:473(_find_new_)
        1    0.000    0.000    0.000    0.000 enum.py:63(__init__)
        8    0.000    0.000    0.000    0.000 enum.py:69(__setitem__)
       14    0.000    0.000    0.001    0.000 hashlib.py:116(__get_openssl_constructor)
        1    0.000    0.000    0.011    0.011 hashlib.py:54(<module>)
        8    0.000    0.000    0.001    0.000 hashlib.py:73(__get_builtin_constructor)
        1    0.000    0.000    0.115    0.115 main.py:1(<module>)
        1    0.000    0.000    0.069    0.069 main.py:8(main)
        1    0.000    0.000    0.016    0.016 random.py:38(<module>)
        1    0.000    0.000    0.000    0.000 random.py:669(SystemRandom)
        1    0.000    0.000    0.000    0.000 random.py:72(Random)
        1    0.000    0.000    0.000    0.000 random.py:88(__init__)
        1    0.000    0.000    0.000    0.000 random.py:97(seed)
        5    0.000    0.000    0.000    0.000 {built-in method __new__ of type object at 0x00007FFEA8A09D30}
        1    0.000    0.000    0.000    0.000 {built-in method _codecs.charmap_decode}
       10    0.000    0.000    0.000    0.000 {built-in method _codecs.charmap_encode}
        1    0.000    0.000    0.000    0.000 {built-in method _hashlib.openssl_md5}
        1    0.000    0.000    0.000    0.000 {built-in method _hashlib.openssl_sha1}
        1    0.000    0.000    0.000    0.000 {built-in method _hashlib.openssl_sha224}
        1    0.000    0.000    0.000    0.000 {built-in method _hashlib.openssl_sha256}
        1    0.000    0.000    0.000    0.000 {built-in method _hashlib.openssl_sha384}
        1    0.000    0.000    0.000    0.000 {built-in method _hashlib.openssl_sha512}
        9    0.000    0.000    0.000    0.000 {built-in method _imp._fix_co_filename}
       79    0.000    0.000    0.000    0.000 {built-in method _imp.acquire_lock}
        5    0.000    0.000    0.000    0.000 {built-in method _imp.create_builtin}
        1    0.009    0.009    0.009    0.009 {built-in method _imp.create_dynamic}
        5    0.000    0.000    0.000    0.000 {built-in method _imp.exec_builtin}
        1    0.000    0.000    0.000    0.000 {built-in method _imp.exec_dynamic}
       17    0.000    0.000    0.000    0.000 {built-in method _imp.is_builtin}
       12    0.000    0.000    0.000    0.000 {built-in method _imp.is_frozen}
       79    0.000    0.000    0.000    0.000 {built-in method _imp.release_lock}
        1    0.000    0.000    0.000    0.000 {built-in method _locale._getdefaultlocale}
       38    0.000    0.000    0.000    0.000 {built-in method _thread.allocate_lock}
       38    0.000    0.000    0.000    0.000 {built-in method _thread.get_ident}
       11    0.001    0.000    0.001    0.000 {built-in method builtins.__build_class__}
      2/1    0.000    0.000    0.002    0.002 {built-in method builtins.__import__}
       16    0.000    0.000    0.000    0.000 {built-in method builtins.any}
        1    0.003    0.003    0.003    0.003 {built-in method builtins.compile}
     11/1    0.000    0.000    0.115    0.115 {built-in method builtins.exec}
      116    0.000    0.000    0.000    0.000 {built-in method builtins.getattr}
       14    0.000    0.000    0.000    0.000 {built-in method builtins.globals}
      107    0.000    0.000    0.000    0.000 {built-in method builtins.hasattr}
        1    0.000    0.000    0.000    0.000 {built-in method builtins.id}
      104    0.000    0.000    0.000    0.000 {built-in method builtins.isinstance}
        4    0.000    0.000    0.000    0.000 {built-in method builtins.issubclass}
       81    0.000    0.000    0.000    0.000 {built-in method builtins.len}
        3    0.000    0.000    0.000    0.000 {built-in method builtins.print}
        5    0.000    0.000    0.000    0.000 {built-in method builtins.setattr}
      181    0.001    0.000    0.001    0.000 {built-in method builtins.sum}
       29    0.000    0.000    0.000    0.000 {built-in method from_bytes}
        1    0.000    0.000    0.000    0.000 {built-in method io.open}
        1    0.000    0.000    0.000    0.000 {built-in method marshal.dumps}
        9    0.001    0.000    0.001    0.000 {built-in method marshal.loads}
        1    0.000    0.000    0.000    0.000 {built-in method math.exp}
       45    0.000    0.000    0.000    0.000 {built-in method math.log2}
        2    0.000    0.000    0.000    0.000 {built-in method math.log}
        1    0.000    0.000    0.000    0.000 {built-in method math.sqrt}
       31    0.000    0.000    0.000    0.000 {built-in method nt.fspath}
       12    0.000    0.000    0.000    0.000 {built-in method nt.getcwd}
        1    0.001    0.001    0.001    0.001 {built-in method nt.open}
        1    0.006    0.006    0.006    0.006 {built-in method nt.replace}
       54    0.009    0.000    0.009    0.000 {built-in method nt.stat}
        1    0.000    0.000    0.000    0.000 {function Random.seed at 0x000000BC085849D8}
      901    0.000    0.000    0.000    0.000 {method 'append' of 'list' objects}
        1    0.000    0.000    0.000    0.000 {method 'disable' of '_lsprof.Profiler' objects}
       12    0.000    0.000    0.000    0.000 {method 'endswith' of 'str' objects}
        4    0.000    0.000    0.000    0.000 {method 'extend' of 'bytearray' objects}
        2    0.000    0.000    0.000    0.000 {method 'format' of 'str' objects}
       49    0.000    0.000    0.000    0.000 {method 'get' of 'dict' objects}
        9    0.000    0.000    0.000    0.000 {method 'get' of 'mappingproxy' objects}
        4    0.000    0.000    0.000    0.000 {method 'items' of 'collections.OrderedDict' objects}
        3    0.000    0.000    0.000    0.000 {method 'items' of 'mappingproxy' objects}
      353    0.000    0.000    0.000    0.000 {method 'join' of 'str' objects}
        1    0.000    0.000    0.000    0.000 {method 'mro' of 'type' objects}
        2    0.000    0.000    0.000    0.000 {method 'pop' of 'dict' objects}
       11    0.001    0.000    0.001    0.000 {method 'read' of '_io.FileIO' objects}
       20    0.000    0.000    0.000    0.000 {method 'readline' of '_io.TextIOWrapper' objects}
       86    0.000    0.000    0.000    0.000 {method 'rpartition' of 'str' objects}
       21    0.000    0.000    0.000    0.000 {method 'rsplit' of 'str' objects}
      324    0.000    0.000    0.000    0.000 {method 'rstrip' of 'str' objects}
        1    0.000    0.000    0.000    0.000 {method 'setdefault' of 'dict' objects}
        3    0.000    0.000    0.000    0.000 {method 'to_bytes' of 'int' objects}
        1    0.000    0.000    0.000    0.000 {method 'union' of 'set' objects}
        1    0.000    0.000    0.000    0.000 {method 'write' of '_io.FileIO' objects}


